replicate,sample_index,reaction_family,candidate_id,covariance_mode,spatial_exponent,sobolev_strength,sobolev_epsilon,stages,field_relative_l2,gradient_relative_l2,front_top10_f1,solver_elapsed_seconds,solver_elapsed_is_shared_trajectory_total,shared_execution_id,shared_checkpoint_count,forward_calls,adjoint_calls,field_gain_percent,gradient_gain_percent,front_f1_gain
3,1,wavy_front,spatial_a0p5_s5_k2,spatial_tempered,0.5,5.0,0.05,2,0.799249529838562,1.0209230184555054,0.20000001788139343,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,2,2,-17.946500918121313,4.682520779446267,-0.02195119857788086
3,2,thin_front,spatial_a0p5_s5_k2,spatial_tempered,0.5,5.0,0.05,2,0.6691318154335022,0.9436392188072205,0.25853657722473145,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,2,2,9.257987072408142,11.100629845510799,-0.019512206315994263
3,3,double_front,spatial_a0p5_s5_k2,spatial_tempered,0.5,5.0,0.05,2,0.7279996275901794,0.9808039665222168,0.2756097614765167,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,2,2,2.00531236841835,8.059764203943866,0.021951228380203247
3,4,annular_kernel,spatial_a0p5_s5_k2,spatial_tempered,0.5,5.0,0.05,2,0.939628005027771,1.0235093832015991,0.16585366427898407,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,2,2,-3.8602989377675265,-0.9306837510281664,-0.1926829069852829
3,5,oblique_shock,spatial_a0p5_s5_k2,spatial_tempered,0.5,5.0,0.05,2,0.7576358318328857,0.9783200025558472,0.2365853637456894,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,2,2,-1.3910760359286463,5.898395750744369,-0.012195125222206116
3,6,vortex_pair,spatial_a0p5_s5_k2,spatial_tempered,0.5,5.0,0.05,2,0.9421419501304626,1.0207791328430176,0.3975609838962555,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,2,2,-8.133986512496536,-0.7567004804434421,-0.11219510436058044
3,7,multi_plume,spatial_a0p5_s5_k2,spatial_tempered,0.5,5.0,0.05,2,0.9976688027381897,1.052653431892395,0.24634146690368652,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,2,2,3.9686493858748166,2.597267366141103,0.007317081093788147
3,0,plume,spatial_a0p5_s5_k3,spatial_tempered,0.5,5.0,0.05,3,0.6435996294021606,0.9617831707000732,0.6487804651260376,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,3,3,-10.890972989387944,-9.213962130419091,-0.06097555160522461
3,1,wavy_front,spatial_a0p5_s5_k3,spatial_tempered,0.5,5.0,0.05,3,0.7099280953407288,1.0825756788253784,0.21463415026664734,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,3,3,-4.765197379369696,-1.0736195636204986,-0.007317066192626953
3,2,thin_front,spatial_a0p5_s5_k3,spatial_tempered,0.5,5.0,0.05,3,0.7013004422187805,1.0140222311019897,0.30450671911239624,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,3,3,4.89554923835974,4.4699119420204765,0.026457935571670532
3,3,double_front,spatial_a0p5_s5_k3,spatial_tempered,0.5,5.0,0.05,3,0.7478722929954529,1.0590931177139282,0.1463414579629898,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,3,3,-0.6697104818584207,0.7209653547081827,-0.10731707513332367
3,4,annular_kernel,spatial_a0p5_s5_k3,spatial_tempered,0.5,5.0,0.05,3,0.9228145480155945,1.0042773485183716,0.3243902325630188,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,3,3,-2.0018499961458414,0.9658327268469641,-0.03414633870124817
3,5,oblique_shock,spatial_a0p5_s5_k3,spatial_tempered,0.5,5.0,0.05,3,0.7590526938438416,1.0394538640975952,0.21193666756153107,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,3,3,-1.580688456367766,0.018116874710688992,-0.03684382140636444
3,6,vortex_pair,spatial_a0p5_s5_k3,spatial_tempered,0.5,5.0,0.05,3,1.0480940341949463,1.150505542755127,0.3097561001777649,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,3,3,-20.294596946638936,-13.561434244459122,-0.19999998807907104
3,7,multi_plume,spatial_a0p5_s5_k3,spatial_tempered,0.5,5.0,0.05,3,1.0335553884506226,1.085862398147583,0.2195121794939041,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,3,3,0.5143594597630706,-0.47558069875892356,-0.019512206315994263
3,0,plume,spatial_a0p5_s5_k4,spatial_tempered,0.5,5.0,0.05,4,0.5750367641448975,0.8733175992965698,0.7137636542320251,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,4,4,0.9222762605854321,0.8316238804854891,0.0040076375007629395
3,1,wavy_front,spatial_a0p5_s5_k4,spatial_tempered,0.5,5.0,0.05,4,0.6790618896484375,1.0733418464660645,0.2195121794939041,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,4,4,-0.2102232165946513,-0.21151183549178393,-0.0024390369653701782
3,2,thin_front,spatial_a0p5_s5_k4,spatial_tempered,0.5,5.0,0.05,4,0.7335062623023987,1.0551905632019043,0.2829268276691437,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,4,4,0.5280675629023202,0.5914817951478659,0.004878044128417969
3,3,double_front,spatial_a0p5_s5_k4,spatial_tempered,0.5,5.0,0.05,4,0.7352268695831299,1.058135986328125,0.25853657722473145,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,4,4,1.032466648865702,0.8106865307048348,0.004878044128417969
3,4,annular_kernel,spatial_a0p5_s5_k4,spatial_tempered,0.5,5.0,0.05,4,0.9078778028488159,1.014852523803711,0.35853657126426697,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,4,4,-0.35084043717359065,-0.0770103480230582,0.0
3,5,oblique_shock,spatial_a0p5_s5_k4,spatial_tempered,0.5,5.0,0.05,4,0.7421054244041443,1.0325167179107666,0.2536585330963135,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,4,4,0.6872901847753933,0.6853797165076032,0.004878044128417969
3,6,vortex_pair,spatial_a0p5_s5_k4,spatial_tempered,0.5,5.0,0.05,4,0.8604105710983276,1.0087220668792725,0.5146341323852539,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,4,4,1.2467016488625884,0.43340043844832454,0.004878044128417969
3,7,multi_plume,spatial_a0p5_s5_k4,spatial_tempered,0.5,5.0,0.05,4,1.0336480140686035,1.0746713876724243,0.25609755516052246,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,4,4,0.5054437122005867,0.5599310548625879,0.017073169350624084
3,0,plume,spatial_a0p5_s5_k5,spatial_tempered,0.5,5.0,0.05,5,0.5592535138130188,0.8425885438919067,0.7292683124542236,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,5,5,3.641699806343038,4.321019406948685,0.019512295722961426
3,1,wavy_front,spatial_a0p5_s5_k5,spatial_tempered,0.5,5.0,0.05,5,0.5236697793006897,0.8642692565917969,0.4121951162815094,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,5,5,22.72123310781689,19.308346058471827,0.1902438998222351
3,2,thin_front,spatial_a0p5_s5_k5,spatial_tempered,0.5,5.0,0.05,5,0.842065155506134,1.1842584609985352,0.21707317233085632,0.043817374971695244,True,rep03_spatial_tempered_a0p5_s5,4,5,5,-14.193773878931479,-11.567884403925452,-0.060975611209869385
