partition,base_seed,geometry_digest,family,case_id,candidate_id,kind,beta,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,modeled_continuous_reprojection_relative_l2,raw_low_reprojection_relative_l2,modeled_correction_relative_norm,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,evaluator_only,runtime_seconds
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,single_interface,a40d33fc9a6be98e818c,damping_high_order_b0p75,damping_high_order,0.75,0.7009695828867705,0.103701050238308,0.08355368545930573,0.0021707014671349147,1.070276628650366,0.0031649568204147336,0.19960166728044476,0.19968181041868863,25,24,1,0,False,0.003414166974835098
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,single_interface,a40d33fc9a6be98e818c,damping_high_order_b1p0,damping_high_order,1.0,0.7004598749433435,0.10362564432863856,0.08349292964589966,0.0021609619039250996,1.062639665334411,0.0038825854045170523,0.21301262752985342,0.21311014166385017,25,24,1,0,False,0.003707875031977892
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,single_interface,a40d33fc9a6be98e818c,exact_mismatch_oracle,exact_oracle,1.0,0.6905305800637292,0.10215670996646355,0.08230938445155987,0.0018840412911906577,1.0830954861469029,0.006377697246536575,0.27295162486482677,0.27312718763423843,25,24,0,0,True,0.0034506669617258012
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,smooth_no_interface,e3e22e519a90f76c2d83,low_cgls25,low_reference,,0.5369081421238586,0.039683334605747474,0.0649547460053032,0.016760472534709553,1.1349761159390106,0.0016025352745831418,0.0016025352745831418,0.0,25,25,0,0,False,0.007733082980848849
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,smooth_no_interface,e3e22e519a90f76c2d83,direct_high_order_cgls25,direct_high_order_reference,,0.5950492744746544,0.04398059484156156,0.07198861677017501,0.019677731418340758,1.1400029407737722,0.0025318847786764175,0.130619279154775,0.0,0,0,25,25,False,0.010923333989921957
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,smooth_no_interface,e3e22e519a90f76c2d83,component_damping_correction,damping,0.0,0.5239194487423532,0.03872332929923298,0.06338338358155766,0.01782578542582225,0.9870292178711614,0.003094096086806414,0.15562869102336616,0.15556534778995007,25,24,0,0,False,0.007430291967466474
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,smooth_no_interface,e3e22e519a90f76c2d83,visible_curvature_correction,curvature,1.0,0.5209021944833984,0.03850032148662079,0.06301835841496481,0.01755114930638914,1.0198760494037715,0.0020760165083577183,0.16892404975830386,0.1689821123690644,25,24,0,0,False,0.00768954202067107
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,smooth_no_interface,e3e22e519a90f76c2d83,damping_curvature_half,damping_curvature,0.5,0.5213223440158006,0.038531375093691846,0.06306918779157564,0.017688592244286056,1.0009783573008182,0.0015316825350164516,0.15920786286846686,0.15918334125589614,25,24,0,0,False,0.005037624971009791
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,smooth_no_interface,e3e22e519a90f76c2d83,damping_high_order_b0p25,damping_high_order,0.25,0.522397922260027,0.03861087199085466,0.06319931044418842,0.017735561254822726,0.9955492630503886,0.0034010813151865264,0.14706336208515505,0.1469916629645741,25,24,1,0,False,0.0035091660101898015
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,smooth_no_interface,e3e22e519a90f76c2d83,damping_high_order_b0p5,damping_high_order,0.5,0.5216008193250257,0.038551957439177796,0.06310287752648616,0.017645593500902352,1.0055874381846615,0.0036206393770090227,0.13967332313565073,0.13961068892585485,25,24,1,0,False,0.004100874997675419
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,smooth_no_interface,e3e22e519a90f76c2d83,damping_high_order_b0p75,damping_high_order,0.75,0.5215322068807526,0.03854688623542694,0.06309457684422619,0.017556390157194887,1.0171814257519995,0.0037858173152452218,0.1336728637749474,0.13362022255927694,25,24,1,0,False,0.00362099998164922
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,smooth_no_interface,e3e22e519a90f76c2d83,damping_high_order_b1p0,damping_high_order,1.0,0.5222160394888564,0.038597428881501104,0.06317730640238454,0.0174675696014894,1.0300907697804425,0.003919353617055377,0.1292661847977706,0.1292138043105598,25,24,1,0,False,0.004176792048383504
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,smooth_no_interface,e3e22e519a90f76c2d83,exact_mismatch_oracle,exact_oracle,1.0,0.5166825260809641,0.038188442228323995,0.06250786608340413,0.017100220427764778,1.0452187159509727,0.0025510859551710232,0.16610081664512175,0.16612764966619584,25,24,0,0,True,0.003998333006165922
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,single_interface,e1d39800258fd30cfa71,low_cgls25,low_reference,,0.6952027936572782,0.0754448830899054,0.08632597229246128,-0.014670793514417165,1.2319991951225706,0.0013092194609610427,0.0013092194609610427,0.0,25,25,0,0,False,0.007930541003588587
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,single_interface,e1d39800258fd30cfa71,direct_high_order_cgls25,direct_high_order_reference,,0.7635574660508212,0.08286287725567963,0.09481383167527933,-0.01685459394749203,1.2250489483198987,0.0012023225804579296,0.18846521073149722,0.0,0,0,25,25,False,0.0076315830228850245
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,single_interface,e1d39800258fd30cfa71,component_damping_correction,damping,0.0,0.689212414839615,0.07479479446298073,0.08558212419439122,-0.015460166608447422,1.1129129357034573,0.0033213874410333508,0.1606019121804194,0.16051436070244646,25,24,0,0,False,0.0038860420463606715
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,single_interface,e1d39800258fd30cfa71,visible_curvature_correction,curvature,1.0,0.6872422367177276,0.07458098655048642,0.08533747969135849,-0.015185779850804866,1.1400246844324275,0.0034892307970159535,0.16936138968749626,0.16933881811063434,25,24,0,0,False,0.0035041249939240515
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,single_interface,e1d39800258fd30cfa71,damping_curvature_half,damping_curvature,0.5,0.6874957175463007,0.0746084948281454,0.08536895536893588,-0.015322135588080075,1.1249069881728682,0.003193960027088127,0.1601622602728152,0.16009485170138474,25,24,0,0,False,0.0038546670111827552
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,single_interface,e1d39800258fd30cfa71,damping_high_order_b0p25,damping_high_order,0.25,0.6884703675337731,0.07471426591397722,0.08548998136103637,-0.01544859187341365,1.104976992083946,0.0033343649485026985,0.16765074333977176,0.16756810735365915,25,24,1,0,False,0.0034950830158777535
calibration,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,single_interface,e1d39800258fd30cfa71,damping_high_order_b0p5,damping_high_order,0.5,0.6880396251652857,0.07466752083767877,0.08543649444454741,-0.015434144624699967,1.0975945766943855,0.003515794788815466,0.17605171720437288,0.17597753340818478,25,24,1,0,False,0.003804582986049354
