rig_id,block_id,sample_index,family,reconstruction_method,true_aperture_radius,nearest_truth_bank_radius,metadata_aperture_radius,metadata_bank_radius,selected_calibration_radius,radius_changed_from_metadata,calibration_radius_matches_nearest_truth,calibration_fold_deletion_stability,calibration_relative_radius_margin,candidate_reconstruction_kappa,baseline_reconstruction_kappa,oracle_reconstruction_kappa,candidate_field_relative_l2,baseline_field_relative_l2,oracle_field_relative_l2,raw_field_error_reduction_percent,candidate_outer_rms,baseline_outer_rms,outer_error_reductions_percent,minimum_outer_error_reduction_percent,candidate_audit_rms,baseline_audit_rms,raw_audit_error_reduction_percent,decision_uses_truth,decision_uses_audit,route_ge_0p0pct,route_ge_2p0pct
development_rig_a,development_rig_a:radius=0.13500,6,shock_cell,upre,0.135,0.12,0.153,0.16,0.12,True,True,1.0,1.7305177128880682,0.01,0.01,0.01,0.2823425480900976,0.27598832204890816,0.2823425480900976,-2.30235322785267,2.31042719368|3.06735655044,2.25190917802|2.60775986279,-2.59859572652|-17.6241951649,-17.62419516490904,1.3776303867799138,1.2678349630602426,-8.660072242735126,False,False,False,False
development_rig_a,development_rig_a:radius=0.13500,7,shock_cell,upre,0.135,0.12,0.153,0.16,0.12,True,True,1.0,1.7305177128880682,0.01,0.01,0.01,0.18499308808805248,0.24065023296909327,0.18499308808805248,23.12781674646824,3.59871951744|2.9294525751,4.58533018149|2.41458851122,21.5166765532|-21.3230561432,-21.32305614323844,1.3689685984279067,1.4433696312916855,5.15467633867262,False,False,False,False
development_rig_b,development_rig_b:radius=0.05500,0,jet_shear,gcv,0.055,0.04,0.041,0.04,0.04,False,True,0.75,2.01697160347624,0.01,0.01,0.01,0.23270808144837682,0.23270808144837682,0.23270808144837682,0.0,1.85417905785|1.61108861385,1.85417905785|1.61108861385,0|0,0.0,2.4781943902181407,2.4781943902181407,0.0,False,False,False,False
development_rig_b,development_rig_b:radius=0.05500,1,jet_shear,gcv,0.055,0.04,0.041,0.04,0.04,False,True,0.75,2.01697160347624,0.01,0.01,0.01,0.2155678731292928,0.2155678731292928,0.2155678731292928,0.0,1.52153988194|1.78610346529,1.52153988194|1.78610346529,0|0,0.0,2.6992552674295727,2.6992552674295727,0.0,False,False,False,False
development_rig_b,development_rig_b:radius=0.05500,2,jet_shear,gcv,0.055,0.04,0.041,0.04,0.04,False,True,0.75,2.01697160347624,0.01,0.01,0.01,0.19131382200218255,0.19131382200218255,0.19131382200218255,0.0,1.89621094049|2.11985108752,1.89621094049|2.11985108752,0|0,0.0,3.0766291732412565,3.0766291732412565,0.0,False,False,False,False
development_rig_b,development_rig_b:radius=0.05500,3,jet_shear,gcv,0.055,0.04,0.041,0.04,0.04,False,True,0.75,2.01697160347624,0.01,0.01,0.01,0.2744483474965489,0.2744483474965489,0.2744483474965489,0.0,1.63970403552|1.86658778271,1.63970403552|1.86658778271,0|0,0.0,2.624711262529288,2.624711262529288,0.0,False,False,False,False
development_rig_b,development_rig_b:radius=0.05500,4,shock_cell,gcv,0.055,0.04,0.041,0.04,0.04,False,True,0.75,2.01697160347624,0.01,0.01,0.01,0.35020122755828953,0.35020122755828953,0.35020122755828953,0.0,3.30660280369|3.20887698855,3.30660280369|3.20887698855,0|0,0.0,4.5252923249533685,4.5252923249533685,0.0,False,False,False,False
development_rig_b,development_rig_b:radius=0.05500,5,shock_cell,gcv,0.055,0.04,0.041,0.04,0.04,False,True,0.75,2.01697160347624,0.01,0.01,0.01,0.4536905661773125,0.4536905661773125,0.4536905661773125,0.0,6.02236977793|7.69378661529,6.02236977793|7.69378661529,0|0,0.0,12.211312666275402,12.211312666275402,0.0,False,False,False,False
development_rig_b,development_rig_b:radius=0.05500,6,shock_cell,gcv,0.055,0.04,0.041,0.04,0.04,False,True,0.75,2.01697160347624,0.01,0.01,0.01,0.4023428009712789,0.4023428009712789,0.4023428009712789,0.0,3.5356513116|3.5095098361,3.5356513116|3.5095098361,0|0,0.0,5.321471355174043,5.321471355174043,0.0,False,False,False,False
development_rig_b,development_rig_b:radius=0.05500,7,shock_cell,gcv,0.055,0.04,0.041,0.04,0.04,False,True,0.75,2.01697160347624,0.01,0.01,0.01,0.3444596991051705,0.3444596991051705,0.3444596991051705,0.0,3.37557578589|3.52040544019,3.37557578589|3.52040544019,0|0,0.0,5.0255305730565425,5.0255305730565425,0.0,False,False,False,False
