method,split,rig_id,family,field_uid,target_view,noisy_whitened_rmse,clean_whitened_rmse
analytic_source_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:8,5,4.2056684494018555,3.9694621562957764
true_field_correction_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:8,5,2.4108102321624756,2.003849506378174
paired_target_field_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:8,5,0.9669610261917114,0.518559455871582
clean_measurement_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:8,5,0.7913839221000671,0.0
zero_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:9,1,3.3748605251312256,2.8706181049346924
analytic_source_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:9,1,3.413017988204956,2.902839422225952
true_field_correction_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:9,1,2.9525012969970703,2.4840948581695557
paired_target_field_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:9,1,1.1032397747039795,0.6444829702377319
clean_measurement_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:9,1,1.0339922904968262,0.0
zero_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:9,5,3.9783527851104736,3.5323715209960938
analytic_source_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:9,5,4.237311840057373,3.8028652667999268
true_field_correction_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:9,5,2.2387192249298096,2.136772394180298
paired_target_field_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:9,5,0.9302582144737244,0.48187312483787537
clean_measurement_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:9,5,0.7277079820632935,0.0
zero_correction,train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:0,0,3.804149866104126,3.6863043308258057
analytic_source_correction,train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:0,0,3.9126992225646973,3.8061084747314453
true_field_correction_oracle,train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:0,0,2.1230971813201904,1.938528299331665
paired_target_field_oracle,train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:0,0,1.5130287408828735,0.8717882037162781
clean_measurement_oracle,train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:0,0,1.1136528253555298,0.0
zero_correction,train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:0,4,2.3601043224334717,2.3888165950775146
analytic_source_correction,train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:0,4,2.46932053565979,2.519104480743408
true_field_correction_oracle,train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:0,4,2.0508503913879395,1.4740535020828247
paired_target_field_oracle,train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:0,4,1.3968595266342163,0.547231912612915
clean_measurement_oracle,train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:0,4,1.2872464656829834,0.0
zero_correction,train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:1,0,2.6957435607910156,2.7720916271209717
analytic_source_correction,train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:1,0,2.720780849456787,2.7929229736328125
true_field_correction_oracle,train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:1,0,2.4514081478118896,2.732044219970703
paired_target_field_oracle,train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:1,0,0.9285945296287537,0.8694000840187073
clean_measurement_oracle,train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:1,0,0.935172438621521,0.0
zero_correction,train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:1,4,2.8888566493988037,2.6788105964660645
analytic_source_correction,train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:1,4,2.9320998191833496,2.7348058223724365
