rig_id,rig_role,budget,method,replicate_count,operator_rmse_relative,operator_mean_relative_l2,operator_p95_relative_l2,operator_worst_relative_l2,operator_bias_relative,bias_to_rmse_standard_error_ratio,forward_action_mean_relative_l2,adjoint_action_mean_relative_l2,normal_action_mean_relative_l2,normal_action_mean_cosine,maximum_internal_adjoint_relative_error,mean_postprocess_seconds
audit_boundary_crossing,audit,16,cf_quadratic_cv,32,0.31129337543543606,0.18766864679277406,0.5796566723771992,1.307024038468441,0.0502985662227285,0.9140305593796005,0.1973513113052623,0.19379544715959635,0.26724758195480963,0.9655804060354254,1.8751972556642275e-15,0.00028800521067751106
audit_boundary_crossing,audit,32,iid_mc,32,0.10571204411412191,0.09926894521814823,0.15924915922261537,0.22311395605272305,0.030578600540239215,1.636319568495358,0.10326175807117735,0.10523195703759722,0.10361897664564859,0.9962965428703185,2.5619214746049536e-15,0.0
audit_boundary_crossing,audit,32,antithetic_mc,32,0.0761598596092017,0.07200877160448876,0.12421082640548638,0.13293370651669856,0.013297795174386425,0.9877078230855685,0.07555876705646498,0.07588318159336585,0.10010268492572594,0.9965920074345198,1.6007573636371468e-15,0.0
audit_boundary_crossing,audit,32,scrambled_sobol,32,0.024356316519005182,0.02404829540740699,0.03061461345750562,0.03773786976976886,0.004236576957020965,0.9839623468485131,0.02475346177511286,0.026240197126332503,0.028524616066024022,0.9996439666731931,1.4340703126904298e-15,0.0
audit_boundary_crossing,audit,32,sunflower_qmc,1,0.0335715361117262,0.0335715361117262,0.0335715361117262,0.0335715361117262,0.0335715361117262,1.0,0.03691005281407314,0.03176851160591288,0.04485173946488328,0.9993235498969097,7.685601607183917e-16,0.12390441697789356
audit_boundary_crossing,audit,32,product_quadrature,1,0.03186465288922449,0.03186465288922449,0.03186465288922449,0.03186465288922449,0.03186465288922449,1.0,0.031182226203058144,0.030246683055629484,0.03623822287049914,0.9994248071965944,1.7811058620653536e-15,0.12720504199387506
audit_boundary_crossing,audit,32,cf_quadratic_cv,32,0.054964744648583974,0.05320963352631131,0.07673608699437397,0.09154579834263565,0.012343847509958282,1.2704024495744177,0.055271374317113,0.05530438355393151,0.06591598619182772,0.9978540089602961,1.7710575936369681e-15,0.00034935933945234865
audit_boundary_crossing,audit,64,iid_mc,32,0.07852995271991023,0.07612490436283895,0.108000448078801,0.11739744209947267,0.017328066865280118,1.2482160664474167,0.07899408910933046,0.0812575723374279,0.07670106557019164,0.9980361701122155,1.242338215569301e-15,0.0
audit_boundary_crossing,audit,64,antithetic_mc,32,0.04867887223025405,0.045162596863692964,0.06982446045617471,0.0968962084722533,0.00973414232720266,1.1311811853064502,0.04735833461899633,0.047277845479223056,0.06105595092568306,0.9985739493363055,1.385487682615201e-15,0.0
audit_boundary_crossing,audit,64,scrambled_sobol,32,0.013808376552373122,0.01368053232363861,0.017211035678614147,0.01963206391430208,0.003035805263863746,1.2436732038979326,0.013746513527874826,0.014572766809761361,0.015794711868842116,0.9998828956966219,1.3690473789604887e-15,0.0
audit_boundary_crossing,audit,64,sunflower_qmc,1,0.010503879189519115,0.010503879189519115,0.010503879189519115,0.010503879189519115,0.010503879189519115,1.0,0.011359626829159494,0.01042552287098371,0.013943314784788887,0.9999142962737674,6.317460479681704e-16,0.25218695803778246
audit_boundary_crossing,audit,64,product_quadrature,1,0.017966720660725608,0.017966720660725608,0.017966720660725608,0.017966720660725608,0.017966720660725608,1.0,0.016006899813256033,0.02052038287518192,0.01749598153313851,0.9998543895787457,3.0344232778725865e-16,0.24795958399772644
audit_boundary_crossing,audit,64,cf_quadratic_cv,32,0.0358964396434206,0.03503498423824759,0.044819786796218904,0.06000273714469987,0.006966135199349203,1.0977805012536872,0.0369222325010566,0.035814794768471325,0.04468870166198654,0.9990067390007902,1.3902467631795542e-15,0.0004331315740273567
