rig_id,split_role,method,iteration,normalized_residual_l2,field_relative_l2,solution_l2
ood-02,fresh_geometry_ood,calibrated_envelope,8,0.5363891656831713,1.0103306747236644,0.4089765097890123
ood-02,fresh_geometry_ood,calibrated_envelope,16,0.38086455344247294,1.0551423290206863,0.6246589748315966
ood-02,fresh_geometry_ood,calibrated_envelope,32,0.26771289363552037,1.1149378519114117,0.9003823060315054
ood-03,fresh_geometry_ood,factor,0,1.0,1.0,0.0
ood-03,fresh_geometry_ood,factor,1,0.8665104438933887,0.8861046093120477,0.2985382559954955
ood-03,fresh_geometry_ood,factor,2,0.6473857062673924,0.7230311473849672,0.7892871972564837
ood-03,fresh_geometry_ood,factor,4,0.16339476724820642,0.5885115972842898,1.9214310767634473
ood-03,fresh_geometry_ood,factor,8,0.37410239820927654,0.8199184913071769,2.940595648965735
ood-03,fresh_geometry_ood,factor,16,0.13761154557160163,0.5123463227663495,1.7712970694224
ood-03,fresh_geometry_ood,factor,32,0.0306590882760285,0.5320231607573119,2.0365100354760144
ood-03,fresh_geometry_ood,exact_oracle,0,1.0,1.0,0.0
ood-03,fresh_geometry_ood,exact_oracle,1,0.6000038984645142,0.654436553073893,0.9053265413875047
ood-03,fresh_geometry_ood,exact_oracle,2,0.18462792500013037,0.4942312937635593,1.8505910140539477
ood-03,fresh_geometry_ood,exact_oracle,4,0.1688759183185006,0.6378606296375542,2.6221999164823253
ood-03,fresh_geometry_ood,exact_oracle,8,0.03314986475001136,0.5334279797228002,2.20771349756867
ood-03,fresh_geometry_ood,exact_oracle,16,0.018699558171739947,0.5294702205348257,2.2641054902120676
ood-03,fresh_geometry_ood,exact_oracle,32,0.01329211547605729,0.4711142697094156,2.2849661897657576
ood-03,fresh_geometry_ood,scalar_factor_train_selected,0,1.0,1.0,0.0
ood-03,fresh_geometry_ood,scalar_factor_train_selected,1,0.5092500353086307,0.6448932551364029,1.103161292049292
ood-03,fresh_geometry_ood,scalar_factor_train_selected,2,0.12961450364429833,0.5992020977291704,2.0260764647520104
ood-03,fresh_geometry_ood,scalar_factor_train_selected,4,0.15035937454536322,0.6402580157073035,2.392705191497664
ood-03,fresh_geometry_ood,scalar_factor_train_selected,8,0.05337876486020946,0.5159050400181773,2.0022260553283715
ood-03,fresh_geometry_ood,scalar_factor_train_selected,16,0.024982626127857677,0.5122998440580171,2.0465554003535504
ood-03,fresh_geometry_ood,scalar_factor_train_selected,32,0.009412255662307072,0.2410047891526315,2.00870086417897
ood-03,fresh_geometry_ood,exact_factor_interpolation_oracle,0,1.0,1.0,0.0
ood-03,fresh_geometry_ood,exact_factor_interpolation_oracle,1,0.6000038984645142,0.654436553073893,0.9053265413875047
ood-03,fresh_geometry_ood,exact_factor_interpolation_oracle,2,0.18462792500013037,0.4942312937635593,1.8505910140539477
ood-03,fresh_geometry_ood,exact_factor_interpolation_oracle,4,0.1688759183185006,0.6378606296375542,2.6221999164823253
ood-03,fresh_geometry_ood,exact_factor_interpolation_oracle,8,0.03314986475001136,0.5334279797228002,2.20771349756867
ood-03,fresh_geometry_ood,exact_factor_interpolation_oracle,16,0.018699558171739947,0.5294702205348257,2.2641054902120676
ood-03,fresh_geometry_ood,exact_factor_interpolation_oracle,32,0.01329211547605729,0.4711142697094156,2.2849661897657576
ood-03,fresh_geometry_ood,learned_oracle_free,0,1.0,1.0,0.0
