family,phantom_seed,noise_fraction,rig_name,network_repeat_id,base_model_seed,residual_seed,omitted_view_index,omitted_view_degrees,base_best_step,residual_selected_step,residual_admitted,normalized_development_improvement,worst_renderer_relative_change,mean_renderer_relative_change,normalized_total_l2_change,normalized_total_h1_change,normalized_total_huber_change,selected_normalized_residual_l2,selected_normalized_residual_h1,correction_l2
smooth_plume,3302,0.02,nominal_six_view,base101_residual307,101,307,1,30.0,220,240,True,0.33549408374529843,-0.018626974894965564,-0.3354940837452985,-0.02933192253112793,0.031880974769592285,0.013987243175506592,0.0005969693302176893,0.007768727373331785,0.15265639126300812
smooth_plume,3302,0.02,nominal_six_view,base101_residual307,101,307,2,60.0,240,240,True,0.3142113781032172,-0.04681866381590094,-0.3142113781032172,-0.049725234508514404,0.041996121406555176,0.017817586660385132,0.0009916849667206407,0.00833151862025261,0.14891809225082397
smooth_plume,3302,0.02,nominal_six_view,base101_residual307,101,307,3,90.0,240,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3302,0.02,nominal_six_view,base101_residual307,101,307,4,120.0,200,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3302,0.02,nominal_six_view,base101_residual307,101,307,5,150.0,120,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3302,0.02,nominal_six_view,base211_residual419,211,419,0,0.0,60,20,True,0.034819094578364185,-0.018733143795858442,-0.03481909457836413,-0.03910547494888306,-0.05020648241043091,-0.0171930193901062,0.0005670089740306139,0.0064917635172605515,0.09974537044763565
smooth_plume,3302,0.02,nominal_six_view,base211_residual419,211,419,1,30.0,200,240,True,0.19328627674488186,-0.051652117263843667,-0.19328627674488183,-0.02513861656188965,0.19436633586883545,0.06655332446098328,0.00047736093983985484,0.022290853783488274,0.13621379435062408
smooth_plume,3302,0.02,nominal_six_view,base211_residual419,211,419,2,60.0,120,240,True,0.13181809082687523,-0.006444366311423422,-0.13181809082687515,-0.030363082885742188,0.08646130561828613,0.02997720241546631,0.00038840665365569293,0.007024711463600397,0.1559525579214096
smooth_plume,3302,0.02,nominal_six_view,base211_residual419,211,419,3,90.0,240,20,True,0.037144248109844624,-0.004281996050197745,-0.037144248109844624,-0.018403351306915283,-0.02424222230911255,-0.008134394884109497,0.0002551593061070889,0.0016380567103624344,0.06029241904616356
smooth_plume,3302,0.02,nominal_six_view,base211_residual419,211,419,4,120.0,240,160,True,0.17259714782484914,-0.003342008969183352,-0.17259714782484908,-0.06304031610488892,0.08041512966156006,0.029945045709609985,0.0015035944525152445,0.01007476169615984,0.15585535764694214
smooth_plume,3302,0.02,nominal_six_view,base211_residual419,211,419,5,150.0,180,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3302,0.02,sparse_four_view,base101_residual307,101,307,0,0.0,40,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3302,0.02,sparse_four_view,base101_residual307,101,307,1,45.0,240,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3302,0.02,sparse_four_view,base101_residual307,101,307,2,90.0,240,240,True,0.08100201175692767,-0.024350347396097094,-0.08100201175692778,-0.008324801921844482,0.07845640182495117,0.02103114128112793,0.00023403273371513933,0.008345908485352993,0.1429651975631714
smooth_plume,3302,0.02,sparse_four_view,base101_residual307,101,307,3,135.0,240,60,True,0.07413743619571989,-0.017558878505460895,-0.07413743619571983,-0.009826719760894775,0.06813216209411621,0.018980354070663452,0.00011124154116259888,0.005797252524644136,0.14598754048347473
smooth_plume,3302,0.02,sparse_four_view,base211_residual419,211,419,0,0.0,240,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
