family,phantom_seed,noise_fraction,rig_name,network_repeat_id,base_model_seed,residual_seed,fit_role,base_training_seconds,residual_training_seconds
smooth_plume,3302,0.02,sparse_four_view,base101_residual307,101,307,full,0.9708360000513494,6.932175374939106
smooth_plume,3302,0.02,sparse_four_view,base101_residual307,101,307,leave_out_0,0.8147506670793518,6.133290208992548
smooth_plume,3302,0.02,sparse_four_view,base101_residual307,101,307,leave_out_1,0.8219736659666523,6.19074908294715
smooth_plume,3302,0.02,sparse_four_view,base101_residual307,101,307,leave_out_2,0.814620083081536,6.191424707998522
smooth_plume,3302,0.02,sparse_four_view,base101_residual307,101,307,leave_out_3,0.8207696250174195,6.156007458106615
smooth_plume,3302,0.02,sparse_four_view,base211_residual419,211,419,full,1.0164037089562044,6.9837696249596775
smooth_plume,3302,0.02,sparse_four_view,base211_residual419,211,419,leave_out_0,0.8143099999288097,6.144547458039597
smooth_plume,3302,0.02,sparse_four_view,base211_residual419,211,419,leave_out_1,0.8526557080913335,6.156102625071071
smooth_plume,3302,0.02,sparse_four_view,base211_residual419,211,419,leave_out_2,0.8065621249843389,6.14328924997244
smooth_plume,3302,0.02,sparse_four_view,base211_residual419,211,419,leave_out_3,0.819556999951601,6.177537917043082
smooth_plume,3302,0.08,coarse_ray_six_view,base101_residual307,101,307,full,0.9097107499837875,6.711486874963157
smooth_plume,3302,0.08,coarse_ray_six_view,base101_residual307,101,307,leave_out_0,0.8315569160040468,6.231126083992422
smooth_plume,3302,0.08,coarse_ray_six_view,base101_residual307,101,307,leave_out_1,0.8075978750130162,6.2221311669563875
smooth_plume,3302,0.08,coarse_ray_six_view,base101_residual307,101,307,leave_out_2,0.816861082916148,6.22314804198686
smooth_plume,3302,0.08,coarse_ray_six_view,base101_residual307,101,307,leave_out_3,0.8160382499918342,6.214771291939542
smooth_plume,3302,0.08,coarse_ray_six_view,base101_residual307,101,307,leave_out_4,0.815851291990839,6.2476205410202965
smooth_plume,3302,0.08,coarse_ray_six_view,base101_residual307,101,307,leave_out_5,0.8157898329664022,6.2052952910307795
smooth_plume,3302,0.08,coarse_ray_six_view,base211_residual419,211,419,full,0.908766333013773,6.713718125014566
smooth_plume,3302,0.08,coarse_ray_six_view,base211_residual419,211,419,leave_out_0,0.8239640420069918,6.196977040963247
smooth_plume,3302,0.08,coarse_ray_six_view,base211_residual419,211,419,leave_out_1,0.815958832972683,6.198091833037324
smooth_plume,3302,0.08,coarse_ray_six_view,base211_residual419,211,419,leave_out_2,0.8174394170055166,6.239998459001072
smooth_plume,3302,0.08,coarse_ray_six_view,base211_residual419,211,419,leave_out_3,0.8159440830349922,6.203059500083327
smooth_plume,3302,0.08,coarse_ray_six_view,base211_residual419,211,419,leave_out_4,0.8430355000309646,6.213465083041228
smooth_plume,3302,0.08,coarse_ray_six_view,base211_residual419,211,419,leave_out_5,0.8164989999495447,6.22282141703181
