method,base_seed,direction_index,amplitude_multiplier,evaluation_replicates,valid_count,failure_count,nominal_threshold,calibration_envelope_threshold,calibration_envelope_valid,nominal_coverage,calibrated_coverage,calibrated_coverage_cp95_lower,calibrated_coverage_cp95_upper,native_radius_qref_median,calibrated_radius_qref_median,calibrated_radius_qref_p90
iterative_exact_godambe,811,0,2.0,250,250,0,11.070497693516351,14.154403049504122,True,0.92,0.984,0.9595426193679008,0.9956237734910259,0.22548819660686054,0.2549682008313338,0.255362350590832
iterative_penalized_contrast,811,0,2.0,250,250,0,11.070497693516351,13.832455580051194,True,0.924,0.98,0.9539464228461827,0.9934749299979705,,,
corrected_crossfit_wald,811,0,2.0,250,250,0,11.070497693516351,483.5298734055149,True,0.052,1.0,0.9853528113643196,1.0,0.5460592741182546,3.608842012234975,3.621964468555054
plugin_native,811,1,1.0,250,250,0,11.070497693516351,103.2524206581322,True,0.952,1.0,0.9853528113643196,1.0,0.23117368257392817,0.7060003875870481,0.7063777267827411
iterative_gn_sandwich,811,1,1.0,250,250,0,11.070497693516351,14.134120644626549,True,0.956,0.992,0.9714016527550389,0.9990296902769611,0.22669074499428743,0.2561442515864465,0.2562936859772848
iterative_exact_godambe,811,1,1.0,250,250,0,11.070497693516351,14.154403049504122,True,0.956,0.992,0.9714016527550389,0.9990296902769611,0.22666714925521916,0.25630128806224295,0.25670637350500014
iterative_penalized_contrast,811,1,1.0,250,250,0,11.070497693516351,13.832455580051194,True,0.956,0.992,0.9714016527550389,0.9990296902769611,,,
corrected_crossfit_wald,811,1,1.0,250,250,0,11.070497693516351,483.5298734055149,True,0.92,1.0,0.9853528113643196,1.0,0.5336487119741802,3.5268220554577376,3.5424844127622386
plugin_native,811,1,2.0,250,250,0,11.070497693516351,103.2524206581322,True,0.924,1.0,0.9853528113643196,1.0,0.23108698236918696,0.7057356066765671,0.7060659546366578
iterative_gn_sandwich,811,1,2.0,250,250,0,11.070497693516351,14.134120644626549,True,0.956,0.98,0.9539464228461827,0.9934749299979705,0.22676238594025372,0.2562252007071878,0.25637324625196456
iterative_exact_godambe,811,1,2.0,250,250,0,11.070497693516351,14.154403049504122,True,0.956,0.98,0.9539464228461827,0.9934749299979705,0.22675907241099463,0.2564052291198925,0.256747113478026
iterative_penalized_contrast,811,1,2.0,250,250,0,11.070497693516351,13.832455580051194,True,0.956,0.98,0.9539464228461827,0.9934749299979705,,,
