family,phantom_seed,noise_fraction,rig_name,network_repeat_count,network_repeat_ids,admitted_network_repeat_count,all_network_repeats_admitted,maximum_normalized_total_l2_change,maximum_normalized_total_h1_change,maximum_normalized_total_huber_change,minimum_normalized_development_improvement,minimum_gate_holdout_improvement,maximum_residual_roughness_log1p,maximum_worst_renderer_relative_change,maximum_field_delta_candidate_minus_base,maximum_h1_delta_candidate_minus_base,median_field_delta_candidate_minus_base,median_h1_delta_candidate_minus_base,median_dense_automatic_delta_candidate_minus_base,median_test_automatic_delta_candidate_minus_base,train_view_count,neural_sample_count,beneficial_truth_label,truth_outcome_class
smooth_plume,3305,0.08,nominal_six_view,2,base101_residual307|base211_residual419,2,True,-0.008459627628326416,0.029303908348083496,0.012610077857971191,0.12055103080341034,0.13092862926124216,2.9688087116214614,-0.0005330737002456898,0.0014944898227226278,-0.0024012354380871515,-0.0020182328547412587,-0.0027806887715751405,-0.04245190701015517,-0.03343914303391549,6,32,False,harmful
smooth_plume,3305,0.08,sparse_four_view,2,base101_residual307|base211_residual419,1,False,0.0,0.0,0.0,0.0,0.0,3.101027563089048,0.0,0.00018083679497414573,0.0,9.041839748707287e-05,-0.00018136107300469745,-0.011939351885795452,-0.007843092223852224,4,32,False,neutral
smooth_plume,3306,0.02,coarse_ray_six_view,2,base101_residual307|base211_residual419,1,False,0.0,0.0,0.0,0.0,0.0,2.115602237734044,0.0,0.0,0.0,-0.003827861826023668,-0.0027638713354385114,-0.014287608793916898,-0.011580850684760707,6,20,False,neutral
smooth_plume,3306,0.02,nominal_six_view,2,base101_residual307|base211_residual419,2,True,-0.0394817590713501,0.054953575134277344,0.02590307593345642,0.22801118920896735,-0.29734342042999984,3.220600263177486,-0.10594945216880136,-0.008963312540557766,-0.00175844042322032,-0.011063849655245844,-0.0034649201747545613,-0.03848798209799113,0.016433098466069673,6,32,True,beneficial
smooth_plume,3306,0.02,sparse_four_view,2,base101_residual307|base211_residual419,2,True,-0.005381762981414795,-0.027777493000030518,-0.006727784872055054,0.09845265471007147,0.06691818797743476,4.151575104449045,-0.01278913968640294,0.0028386586975841926,6.42824469533898e-05,-0.002592413276493802,-0.0016861146327929039,-0.022500531165188124,-0.011055322189416995,4,32,False,harmful
smooth_plume,3306,0.08,coarse_ray_six_view,2,base101_residual307|base211_residual419,2,True,0.09106922149658203,0.10979986190795898,0.03973442316055298,0.04077719266873481,0.00609091310527754,4.313996635271965,-0.008146174676259,0.007114183240248997,-0.000605601270685624,0.001149181204378187,-0.0016478600304553476,-0.010238776006575107,-0.005056074421060167,6,20,False,harmful
smooth_plume,3306,0.08,nominal_six_view,2,base101_residual307|base211_residual419,1,False,0.0,0.0,0.0,0.0,0.0,3.128403326335949,0.0,0.0,0.0,-0.002213091869860781,-0.0008226912691760777,-0.02056883232207142,0.01537322197636911,6,32,False,neutral
smooth_plume,3306,0.08,sparse_four_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,32,False,neutral
wrinkled_density_interface,3401,0.02,coarse_ray_six_view,2,base101_residual307|base211_residual419,2,True,-0.048726797103881836,0.14291465282440186,0.02151113748550415,0.10306444913420432,-0.14962939079170545,3.258492832080635,-0.0024756527663546413,-0.007508546437353977,-0.005440121586679031,-0.013891160998024787,-0.006760183317687421,-0.04243137213866021,0.03146715945569736,6,20,True,beneficial
wrinkled_density_interface,3401,0.02,nominal_six_view,2,base101_residual307|base211_residual419,2,True,-0.08189958333969116,0.07589077949523926,0.011421144008636475,0.13967673453139828,-0.5758091630862476,2.325253084506495,-0.0019224030380945445,-0.007732071297845228,-0.004130296463591421,-0.011521736898458687,-0.004358591052484664,-0.044452202506378304,0.08437062488040338,6,32,True,beneficial
wrinkled_density_interface,3401,0.02,sparse_four_view,2,base101_residual307|base211_residual419,2,True,-0.04648107290267944,0.2071361541748047,0.03823655843734741,0.06891637752488333,-0.036429579209126484,3.535204012302145,-0.004050078571114835,-0.002201587905845806,-0.0015992640103313083,-0.005490710186412617,-0.0019163206594383086,-0.030076211887630086,0.004312497094620837,4,32,True,beneficial
wrinkled_density_interface,3401,0.08,coarse_ray_six_view,2,base101_residual307|base211_residual419,2,True,-0.0474429726600647,0.16548335552215576,0.019615352153778076,0.10724647497963702,-0.13591414133210522,3.1234599224565356,-0.006054749359975187,-0.0023627417621997493,-0.003434952471889491,-0.010723783226413625,-0.005190222254725818,-0.04328111084906383,0.0172568003782331,6,20,True,beneficial
wrinkled_density_interface,3401,0.08,nominal_six_view,2,base101_residual307|base211_residual419,2,True,-0.03826594352722168,0.18771827220916748,0.023921966552734375,0.025375704784545317,-0.09702068892308291,2.8760774005235668,-0.0004975236373384595,0.002562232479333973,-0.0016605294102746693,-0.005856672731215998,-0.004087413979216595,-0.03151999763245786,0.03116876380130866,6,32,False,harmful
wrinkled_density_interface,3401,0.08,sparse_four_view,2,base101_residual307|base211_residual419,2,True,-0.023465752601623535,0.2180023193359375,0.03123784065246582,0.07622512291484262,0.006171389589885834,3.1910380707248307,-0.0015796705308194214,0.0012532722859233125,1.6866416910565896e-05,-0.003978413829898345,-0.0007781225091844229,-0.026982089447575797,-0.0011029118845858193,4,32,False,harmful
wrinkled_density_interface,3402,0.02,coarse_ray_six_view,2,base101_residual307|base211_residual419,2,True,-0.02024221420288086,0.08386528491973877,0.022331058979034424,0.031161904920428474,-0.10895522037198657,2.7638791906056808,-0.0059727286947004465,-0.0008985144884728902,0.001963082034172642,-0.004217471383966262,0.0017926703979476988,-0.022820597428386213,0.01973046684558137,6,20,False,harmful
wrinkled_density_interface,3402,0.02,nominal_six_view,2,base101_residual307|base211_residual419,1,False,0.0,0.05174243450164795,0.0008097290992736816,0.0,-0.1419907317036524,1.7713164448886232,0.0,0.0,0.003375861482892817,-0.002970237314337758,0.0016879307414464084,-0.013394789639185625,0.007886200055354106,6,32,False,harmful
wrinkled_density_interface,3402,0.02,sparse_four_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,32,False,neutral
wrinkled_density_interface,3402,0.08,coarse_ray_six_view,2,base101_residual307|base211_residual419,1,False,0.0,0.07074534893035889,0.009311258792877197,0.0,0.0,2.0329330359673383,0.0,0.0,0.0007986082613694601,-0.0045390682151144335,0.00039930413068473003,-0.015921149833280815,-0.0034593601564952142,6,20,False,harmful
