family,phantom_seed,noise_fraction,rig_name,network_repeat_id,base_training_seconds,residual_training_seconds
wrinkled_density_interface,3405,0.02,nominal_six_view,base211_residual419,1.0984610000159591,6.406213792040944
wrinkled_density_interface,3405,0.08,nominal_six_view,base101_residual307,1.0982967499876395,6.421303667011671
wrinkled_density_interface,3405,0.08,nominal_six_view,base211_residual419,1.0883912920253351,6.428424834040925
wrinkled_density_interface,3405,0.02,sparse_four_view,base101_residual307,0.7879744999809191,6.087607917026617
wrinkled_density_interface,3405,0.02,sparse_four_view,base211_residual419,0.7810237919911742,6.040615416946821
wrinkled_density_interface,3405,0.08,sparse_four_view,base101_residual307,0.7936991660390049,6.076812583953142
wrinkled_density_interface,3405,0.08,sparse_four_view,base211_residual419,0.7734157500090078,6.098368625040166
wrinkled_density_interface,3405,0.02,coarse_ray_six_view,base101_residual307,0.7867565409978852,6.018166000023484
wrinkled_density_interface,3405,0.02,coarse_ray_six_view,base211_residual419,0.7797519580926746,6.070522624999285
wrinkled_density_interface,3405,0.08,coarse_ray_six_view,base101_residual307,0.7834919160231948,6.090770083013922
wrinkled_density_interface,3405,0.08,coarse_ray_six_view,base211_residual419,0.7888325829990208,5.9916560830315575
wrinkled_density_interface,3406,0.02,nominal_six_view,base101_residual307,1.0840642499970272,6.3912808750756085
wrinkled_density_interface,3406,0.02,nominal_six_view,base211_residual419,1.100970875006169,6.438273667008616
wrinkled_density_interface,3406,0.08,nominal_six_view,base101_residual307,1.085414542001672,6.468520084046759
wrinkled_density_interface,3406,0.08,nominal_six_view,base211_residual419,1.0982785420492291,6.416629082988948
wrinkled_density_interface,3406,0.02,sparse_four_view,base101_residual307,0.7740271249786019,6.141300083952956
wrinkled_density_interface,3406,0.02,sparse_four_view,base211_residual419,0.7994214579230174,6.120867958990857
wrinkled_density_interface,3406,0.08,sparse_four_view,base101_residual307,0.7696838330011815,6.054765708046034
wrinkled_density_interface,3406,0.08,sparse_four_view,base211_residual419,0.7915832090657204,6.0981681670527905
wrinkled_density_interface,3406,0.02,coarse_ray_six_view,base101_residual307,0.7832325840136036,5.987134375027381
wrinkled_density_interface,3406,0.02,coarse_ray_six_view,base211_residual419,0.7748503750190139,5.968213791958988
wrinkled_density_interface,3406,0.08,coarse_ray_six_view,base101_residual307,0.7723701249342412,6.01961512491107
wrinkled_density_interface,3406,0.08,coarse_ray_six_view,base211_residual419,0.7734634999651462,5.997703582979739
